Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Feature,Chrome 114.0.0.0,,,2023-06-07 20:51:32,2023-06-07 20:52:14,41.906s,PASSED
,,,,,,,
Test Cases/Pages/Step Definition/FeatureLogin/Login01 - User Login Using Valid Credential,Chrome 114.0.0.0,,,2023-06-07 20:51:38,2023-06-07 20:52:00,21.854s,PASSED
Start listener action : beforeTestCase,Chrome 114.0.0.0,,,2023-06-07 20:51:38,2023-06-07 20:51:43,4.572s,PASSED
"callTestCase(findTestCase(""Pages/Link""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:51:43,2023-06-07 20:51:45,1.521s,PASSED
"callTestCase(findTestCase(""Pages/HomePage/Click Signin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:51:45,2023-06-07 20:51:47,2.029s,PASSED
"callTestCase(findTestCase(""Pages/Login/Verify Element""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:51:47,2023-06-07 20:51:49,2.016s,PASSED
"callTestCase(findTestCase(""Pages/Login/Input Username""), [""username"":email], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:51:49,2023-06-07 20:51:51,1.820s,PASSED
"callTestCase(findTestCase(""Pages/Login/Input Password""), [""password"":password], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:51:51,2023-06-07 20:51:52,1.349s,PASSED
"callTestCase(findTestCase(""Pages/Login/Click Login""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:51:52,2023-06-07 20:51:56,3.879s,PASSED
"callTestCase(findTestCase(""Pages/HomePage/SuccessLogin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:51:56,2023-06-07 20:51:59,3.608s,PASSED
Start listener action : afterTestCase,Chrome 114.0.0.0,,,2023-06-07 20:51:59,2023-06-07 20:52:00,0.688s,PASSED
,,,,,,,
Test Cases/Pages/Step Definition/FeatureLogin/Login02 - User Login Without Username or Email,Chrome 114.0.0.0,,,2023-06-07 20:52:00,2023-06-07 20:52:14,14.007s,PASSED
Start listener action : beforeTestCase,Chrome 114.0.0.0,,,2023-06-07 20:52:00,2023-06-07 20:52:04,4.011s,PASSED
"callTestCase(findTestCase(""Pages/Link""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:52:05,2023-06-07 20:52:06,1.557s,PASSED
"callTestCase(findTestCase(""Pages/HomePage/Click Signin""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:52:06,2023-06-07 20:52:08,2.140s,PASSED
"callTestCase(findTestCase(""Pages/Login/Verify Element""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:52:08,2023-06-07 20:52:10,2.163s,PASSED
"callTestCase(findTestCase(""Pages/Login/Input Username""), [""username"":""""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:52:10,2023-06-07 20:52:11,0.881s,PASSED
"callTestCase(findTestCase(""Pages/Login/Input Password""), [""password"":password], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:52:11,2023-06-07 20:52:12,0.931s,PASSED
"callTestCase(findTestCase(""Pages/Login/Click Login""), [:], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:52:12,2023-06-07 20:52:13,0.510s,PASSED
"callTestCase(findTestCase(""Pages/Login/Verify Required Username""), [""expected"":""""], STOP_ON_FAILURE)",Chrome 114.0.0.0,,,2023-06-07 20:52:13,2023-06-07 20:52:14,0.769s,PASSED
Start listener action : afterTestCase,Chrome 114.0.0.0,,,2023-06-07 20:52:14,2023-06-07 20:52:14,0.685s,PASSED
